training_set_size,training_error,test_error
50000,30.05047351685221,1313198234212.5122
75000,30.281412623519643,489858725849.24274
100000,30.460879157842438,3933276154.4237485
125000,31.590349371747166,40569327178.6341
150000,31.794108520791657,199168215154.22946
175000,31.7229636515013,11654699490.818497
200000,31.53007147932767,106684607548.39673
225000,31.68914188531672,52934513223.286224
250000,32.08786815021049,90821757553.03023
275000,32.04170852014678,12205099091.233236
300000,32.030658486875694,25640835665.01238
325000,32.07100549750942,38956508520.38132
350000,32.03991777584325,17630853292.505127
375000,31.864840989923522,49296394605.916534
400000,31.886133127771703,16421411134.426271
425000,32.006435847112265,19948584562.931473
450000,32.233003370109024,44664075755.04676
475000,32.17801303851963,12017456711.74867
500000,32.159478625302114,6502860218.901803
525000,32.14516662287302,26609324510.34553
550000,32.157265453339555,8615454191.23557
575000,32.23945025985723,23662976682.4132
600000,32.23129294488648,33631114614.392193
625000,32.25215358928011,6475933212.73021
650000,32.317232512728076,18893222184.42042
675000,32.25928004060607,1386617806.3150659
700000,32.32459096599227,1300701705.7527184
725000,32.246656053280866,3658518207.6556954
750000,32.30901176882682,7317528083.49462
775000,32.354516155545205,19436209884.10692
800000,32.413521981858864,4752858290.11962
