training_set_size,training_error,test_error
50000,32.978626555115916,501868939.68479705
75000,33.42509148666807,21773204642.435066
100000,33.02016690755076,376336172.0821565
125000,33.1235249670631,4630202763.401017
150000,33.017365354404234,668252121.2561938
175000,33.338387847770036,165096375.43103737
200000,33.38102946952817,9269002.879274817
225000,33.6988387701067,89704380.19802475
250000,33.478330771843744,209950347.56429645
275000,33.52832680490169,847030211.360804
300000,33.735683845326776,595643405.2629484
325000,33.80315958391985,1839960580.3014083
350000,33.97462116804992,460686045.32253754
375000,33.70242784283675,274305610.8417159
400000,33.86278252731099,3172040.3186848434
425000,33.711036019233724,189514152.60292092
450000,33.7629006738495,405085566.2108071
475000,33.71663242574733,382407809.83772284
500000,33.9482588753257,55968780.431659654
525000,33.871828792422086,28852662.13089853
550000,33.85894219909164,20642878.659818705
575000,33.85642358222286,44608229.59551997
600000,33.84234935856611,49677357.20715071
625000,33.92159177835882,72259207.98930106
650000,34.06159401068534,7121472.143707479
675000,34.04774505923427,1819576.0479415231
700000,34.161609703654776,325901.3186854068
725000,34.20925438279025,4250411.477113723
750000,34.26712961314244,18207725.188984796
775000,34.251800701073506,7357093.766988802
800000,34.22821621189656,1339902.1545758836
825000,34.155539960485214,9364829.609569775
850000,34.17624292372475,63125990.82417928
875000,34.08365527529732,66435743.481755614
900000,34.11634336706434,28644628.16304818
925000,34.233052437430196,5460061.717320595
950000,34.182486974329244,6379399.964850346
975000,34.154944337616826,11173638.222995171
1000000,34.11333076710136,26686258.164430942
1107156,34.10069412513375,823228.1569281752
